GName,GLIMPSE_Flux,GLIMPSE_e_Flux,GLIMPSE_Area,GLIMPSE_Saturation,MIPSGal_Flux,MIPSGal_e_Flux,MIPSGal_Area,MIPSGal_Saturation,WISE3_Flux,WISE3_e_Flux,WISE3_Area,WISE3_Saturation,WISE4_Flux,WISE4_e_Flux,WISE4_Area,WISE4_Saturation,HiGal70_Flux,HiGal70_e_Flux,HiGal70_Area,HiGal70_Saturation,HiGal160_Flux,HiGal160_e_Flux,HiGal160_Area,HiGal160_Saturation
G017.584+00.088,0.7556498051,0.1833931357,0.3111187518,0,2.162325859,0.1222060695,0.3111187518,0,0.9080038071,0.1427006572,0.02800292149,0,1.857028842,0.2602281868,0.02800292149,0,29.79002953,5.058324814,0.3111197352,0,37.81178665,22.67572975,0.6293069124,0
G017.590+00.092,1.029517531,0.1757339388,0.1216868386,0,3.205574751,0.09304581583,0.1216868386,0,0.9586933851,0.09345972538,0.0109526692,0,1.573077679,0.1979481876,0.0109526692,0,35.55686188,4.751217842,0.1216872409,0,72.57057953,11.70120144,0.2461387366,0
G017.594+00.087,0.3839248419,0.04367445409,0.1561996043,0,2.215623617,0.09634874016,0.1561995894,0,0.6257606745,0.08894687146,0.01405903418,0,1.443393946,0.2868038714,0.01405903418,0,36.01632309,2.221839666,0.1562001854,0,104.897377,14.24514294,0.3159486055,0
G017.625+00.048,2.033841372,0.5304824114,1.575199604,0,1.848154426,0.5726157427,1.575199604,0,1.504192352,0.5509085059,0.1417769641,0,1.513658285,0.919783771,0.1417769641,0,51.05694962,12.91527939,1.575216174,0,180.2355194,67.02397919,3.186215162,0
G017.638+00.157,35.8511734,6.326186657,2.391200066,0,66.62324524,8.177829742,2.436800241,0,17.91638756,6.150687695,0.2244000137,0,65.74201965,9.312105179,0.2244000137,0,4467.470215,154.5811157,2.449066877,0,5682.589844,338.8005676,5.154133797,0
G017.928-00.677,19.87152863,4.876869678,23.69713402,0,25.30953979,4.962482929,23.69713402,0,18.19403267,6.106182575,2.133042336,0,26.43778419,5.60787344,2.133042336,0,367.2502136,98.99600983,23.70476723,0,1421.622559,1370.543701,47.94804001,0
G018.068-00.013,8.638917923,1.474027634,6.877582073,0,7.489523888,1.58082664,6.877582073,0,8.760970116,2.417101622,0.6189829707,0,7.936114788,2.307469368,0.6189829707,0,165.7933807,14.3389473,6.878665447,0,595.0227051,192.7313385,13.91358376,0
G018.076+00.068,8.295426369,0.4548451602,4.991600037,0,22.61273003,1.10425508,5.054399967,0,9.018013,0.2748868763,0.465200007,0,22.45584106,0.8343760371,0.465200007,0,343.018219,33.15322113,5.111466885,0,932.3121338,160.7825165,10.46755695,0
G018.096-00.322,24.14780235,12.49592304,5.325278759,0,72.12827301,25.50439072,5.325278759,0,24.9589901,17.36324883,0.4792914689,0,64.25556183,24.77053452,0.4792914689,0,714.3535767,391.0956726,5.326575279,0,1849.656738,950.4935303,10.77414894,0
G018.144-00.281,425.5274353,45.07078171,35.46019745,0,1085.852539,85.45929718,35.46019745,0.03045234643,521.4934082,39.02738953,3.191512346,0.05090111867,1368.172729,91.07516479,3.191512346,0.02033609338,15037.66211,1019.593689,35.46904755,0,20676.01562,4669.296875,71.74378967,0
G018.152+00.090,9.456890106,0.9412450194,7.305532455,0,9.816334724,2.009267807,7.305532455,0,8.451112747,0.3607829809,0.6575058699,0,9.535086632,1.813882709,0.6575058699,0,253.3124542,26.65358162,7.306922913,0,736.2150269,65.07463837,14.7798214,0
G018.187-00.415,71.13179779,100.2164764,44.70715332,0,372.3930969,133.0588379,44.70715332,0,110.5870132,92.66147614,4.023916245,0,391.6672058,118.9985046,4.023916245,0,3022.063965,1595.581055,44.72193527,0,3494.977295,6301.806152,90.4597702,0
G018.195-00.171,10.0892067,5.291498661,3.629055262,0,33.06692123,10.10274792,3.629055023,0,13.68188953,6.063470364,0.3266230226,0,32.48851776,11.51376724,0.3266230226,0,355.4776306,116.3585281,3.629992485,0,692.21521,203.2809906,7.342440605,0
G018.209-00.188,15.23868656,1.112972975,1.04283452,0,8.566680908,2.53587842,1.04283452,0,9.807192802,1.355234623,0.0938578397,0.01102941204,18.36444855,2.680181265,0.0938578397,0,-3.075654268,29.00099754,1.043117404,0,11.28920174,47.14751053,2.109929562,0
G018.216-00.225,7.938973427,1.176292896,0.6822969913,0,14.7457571,10.58628273,0.6822969913,0,5.677319527,2.705014467,0.0614088662,0,16.28686905,10.07100391,0.0614088662,0,202.5326538,53.98919296,0.6824912429,0,319.7461548,87.19626617,1.380485535,0
G018.218+00.397,7.943761349,4.706915379,24.53711891,0.0000161537846,13.80830479,4.203547955,24.53711891,0,9.656065941,7.176568031,2.208488464,0,14.3558712,4.366337299,2.208488464,0,208.5457001,79.71016693,24.5428791,0,590.3674316,812.8600464,49.64323044,0
G018.230-00.250,39.84152603,13.42253304,5.783567429,0,103.4670334,23.19425201,5.783567429,0,49.07782745,11.98277283,0.5205429792,0,96.88153076,14.60358047,0.5205429792,0,1183.143311,437.6277466,5.785318851,0,1871.35437,1936.782959,11.70205498,0
G018.242-00.218,10.27699757,4.043688297,3.145170927,0,43.71244812,55.89772797,3.145170927,0,13.5739336,10.58295441,0.2830766141,0,39.9282341,49.56788254,0.2830766141,0,191.3961487,268.0829468,3.146116972,0,-4.93961525,968.8863525,6.363698959,0
G018.253-00.298,204.6345673,54.3972702,41.87172699,0,695.2377319,132.0354462,41.87172699,0,280.2205505,50.9447937,3.768659353,0,726.2092285,147.2185822,3.768659353,0,6936.326172,839.3445435,41.88557434,0,15018.52832,2499.548096,84.72261047,0
G018.305-00.391,45.54756546,1.422062159,3.139498949,0,95.51660156,3.213358402,3.139498949,0.03818269819,30.11624718,1.734349608,0.2825796306,0.02752293646,113.3265457,2.763516903,0.2825796306,0.005242464133,2670.298828,29.48601913,3.140755653,0,5230.624023,153.8899078,6.352855206,0
G018.329+00.024,0.6880362034,2.457771063,8.181265831,0,4.968599796,1.075488687,8.181265831,0,1.834865093,1.643624067,0.7363494635,0,4.732232094,1.283750534,0.7363494635,0,78.01953888,26.05095863,8.183851242,0,294.6494446,214.1786041,16.5535965,0
G018.426+01.922,54.57709122,42.34024429,144.3300171,0,-NaN,-NaN,145.1327972,0,9575.291992,3628.415283,755.8433228,0,33317.20703,2929.827881,755.8433228,0,NaN,NaN,2532.212646,0,NaN,NaN,5352.48291,0
G018.441+00.013,1.75840342,0.1092351899,1.005774021,0,3.416380882,0.1866306216,1.005773902,0,1.448153734,0.1095850915,0.09052756429,0,2.79805994,0.3350998163,0.09052756429,0,91.18145752,9.743297577,1.006183267,0,209.8835297,59.84715652,2.035221577,0
G018.442-00.006,0.4254697859,0.03540697694,0.0672551766,0,2.199923038,0.3698377609,0.0672551766,0,0.1293989122,0.08539511263,0.006053499877,0,0.5030528307,0.3764771223,0.006053499877,0,81.93404388,3.892592907,0.06728283316,0,174.9962006,18.86534309,0.136093989,0
G018.451-00.016,4.821907997,0.5697384477,3.619600058,0,18.27158356,4.275736332,3.689600229,0,5.248800278,0.6947075725,0.3379999995,0,15.1633606,12.89832306,0.3379999995,0,350.0688782,175.3427582,3.737600565,0,746.9205933,972.7102661,7.77102232,0
G018.461-00.003,1.262928009,0.08697640151,0.2550605237,0,13.20009041,2.503571272,0.2550605237,0,2.346133947,0.2838650942,0.02295764163,0,8.754927635,1.239196181,0.02295764163,0,853.3082886,11.81930256,0.255169332,0,1382.902466,13.55640888,0.5161346793,0
G018.584+00.344,2.919648409,0.3363616168,1.575199604,0,5.181826591,0.9106313586,1.575199485,0,2.799794197,1.225751877,0.1417949498,0,4.562240601,1.041591287,0.1417949498,0,71.46128082,10.37908459,1.576101184,0,162.5132446,47.52069855,3.188007832,0
G018.594+00.321,5.217520714,9.677120209,24.56680107,0,19.54081535,6.44843483,24.64640045,0,10.6786232,10.10117245,2.227200031,0,21.43749619,7.108161449,2.227200031,0,170.1493988,136.0416107,24.69831276,0,639.9083862,766.6923828,50.11911774,0
G018.630+00.309,3.871513605,0.432739675,1.575199604,0,5.894443989,0.3255370855,1.575199485,0,3.693827391,0.6547498703,0.1417975724,0,5.10658884,0.4362915754,0.1417975724,0,115.3725815,3.500977039,1.576025844,0,276.3845215,51.11787415,3.187855721,0
G018.631-00.492,7.72905159,40.19512939,32.41349792,0,38.62223816,32.02954102,32.41349792,0,11.48184967,41.52211761,2.917958975,0,40.04124832,35.01577759,2.917958975,0,467.7755432,568.4448242,32.43532944,0,733.821106,2018.537964,65.60756683,0
G018.632+00.256,1.280958891,0.4838224053,4.028800011,0,2.879587412,0.4357460141,4.096000195,0,1.305022359,0.7677047849,0.380799979,0,2.615847111,0.637563169,0.380799979,0,41.61264038,11.03124332,4.178489208,0,137.6698608,98.51000977,8.590223312,0
G018.657-00.057,28.09108543,3.962822199,5.968801022,0,54.17975235,4.825600624,5.968801022,0,27.99518585,4.904026508,0.5372977853,0,65.80006409,4.042014122,0.5372977853,0,949.328125,60.08475876,5.971893311,0,2274.673828,236.1925049,12.07945728,0
G018.669+01.965,0,0,121.5141602,0,0,0,121.5141602,0,690.741394,59.94189835,10.95155811,0.002809798345,1345.63208,310.4811707,10.95155811,0,0,0,121.6866684,0,0,0,246.1373901,0
G018.677-00.236,8.679700851,0.9613707066,4.201816082,0,22.84912491,3.64852643,4.201816082,0,10.30358505,1.984281898,0.3782485127,0,21.0120697,3.873105764,0.3782485127,0,350.7374573,37.16056442,4.204081059,0,856.4681396,71.56273651,8.5036726,0
G018.710+00.000,0.6015232801,0.1435750425,0.2314035743,0,7.773612499,0.2374759316,0.2314035743,0,1.718879104,0.2282007337,0.02083109878,0,8.211920738,0.4727531374,0.02083109878,0,156.0335541,2.886321545,0.2315098792,0,282.1949768,13.02624512,0.4682792127,0
G018.725-00.046,0,0,29.18691444,0,0,0,29.18691444,0,0,0,2.627243757,0,0,0,2.627243757,0,0,0,29.20400429,0,0,0,59.07146072,0
G018.741+00.250,8.738028526,1.156009912,4.037539005,0,26.37003708,0.6660306454,4.037539005,0,9.299051285,1.034538269,0.3634761274,0,27.09674644,0.4212443531,0.3634761274,0,339.7187195,5.482965469,4.039227962,0,769.7091064,47.76127243,8.17021656,0
G018.750-00.535,3.81101203,3.003402233,3.681921244,0,9.463564873,2.225177288,3.681921244,0,2.924427986,2.679427147,0.3314865232,0,8.921807289,2.275030613,0.3314865232,0,101.0713577,51.25638962,3.684066534,0,145.3282928,162.1997528,7.451830864,0
G018.761+00.262,1.172010064,0.09286593646,0.1099704877,0,7.028427124,0.2020015568,0.1099704728,0,1.404001117,0.1108973846,0.009900156409,0,4.94197464,0.6920651197,0.009900156409,0,166.1023712,7.095175266,0.1100146025,0,264.0376892,33.75002289,0.2225284427,0
G018.762+00.270,2.855243921,0.1142312214,0.294028759,0,7.89336586,0.1710679084,0.294028759,0,2.476257801,0.1194876805,0.02647018246,0,6.201575279,0.3077419698,0.02647018246,0,129.8803406,4.579840183,0.29414621,0,227.3528442,9.49120903,0.5949746966,0
