GName,MAGPIS_Flux,MAGPIS_e_Flux,MAGPIS_Area
G017.584+00.088,0.01804604195,0.005039219279,0.3116810918
G017.625+00.048,0.03239776567,0.01282347459,0.7633854747
G017.638+00.157,0.0015693967,0.000745084486,0.09463841468
G017.928-00.677,0.1281855404,0.05421368033,3.46301651
G018.076+00.068,0.2681759596,0.02696872689,2.017006874
G018.096-00.322,0.169367522,0.01743663847,1.515915394
G018.144-00.281,7.957014561,0.3247660697,15.87457752
G018.152+00.090,0.2451364547,0.1288033873,7.313549995
G018.187-00.415,4.861476421,0.331854701,28.91849327
G018.195-00.171,0.7586390972,0.2393596917,3.375005484
G018.216-00.225,0.03070130199,0.00411561504,0.1544448882
G018.218+00.397,0.6295548677,0.1515711844,24.57003021
G018.230-00.250,0.8275231123,0.6308573484,7.71176672
G018.253-00.298,7.489718914,2.306793213,41.9022789
G018.305-00.391,1.52204299,0.01742978022,0.742264986
G018.329+00.024,0.343973577,0.06820007414,8.188344002
G018.441+00.013,0.06922813505,0.004748465493,0.4350892305
G018.442-00.006,0.07519096136,0.01217950415,0.09054455161
G018.451-00.016,0.3106337488,0.05755273998,3.230000019
G018.461-00.003,0.1379697025,0.006313931197,0.1228016242
G018.584+00.344,0.08321677148,0.0296320226,0.8280699253
G018.594+00.321,1.180033326,0.3898614049,21.08111191
G018.630+00.309,0.05818387493,0.01061474904,0.9282029867
G018.657-00.057,0.1764789224,0.01713054441,1.415584326
G018.677-00.236,0.3535990119,0.03612150252,1.18842113
G018.710+00.000,0.04221744835,0.003804944688,0.1288791001
G018.725-00.046,26.95242882,11.92982578,734.3278198
G018.741+00.250,0.1591158211,0.01251118258,0.975628078
G018.750-00.535,0.1774855852,0.06652264297,4.98947382
G018.761+00.262,0.02924527973,0.001152066281,0.08619394153
G018.762+00.270,0.02213173732,0.003682275536,0.1483955532
G018.766+00.262,0.00932659395,0.001259283046,0.06521786004
G018.824-00.467,0.01228091773,0.002107174136,0.0902331993
G018.832-00.300,0.1168965846,0.001120008295,0.1632020622
G018.881-00.493,3.378293276,0.5705856681,8.381882668
G018.914-00.329,112.4521103,8.235379219,758.2866821
G018.949-00.492,1.536597133,0.7578356266,11.52918434
G018.978+00.030,2.448038578,0.7365397215,28.9766655
G019.030+00.423,0.1239934117,0.0724138394,3.262506962
G019.045-00.588,1.183345675,0.2169947773,14.61014271
G019.064-00.282,2.035239697,0.3541697264,5.029999733
G019.077-00.291,0.5451447368,0.03392557427,0.1774055362
G019.110-00.604,2.942768335,0.8899005055,58.2844429
G019.122-00.263,0.2426317483,0.1180300117,3.345411062
G019.466+00.168,2.311053753,0.8259056211,63.08555603
G019.474+00.169,0.04939887673,0.002104546176,0.1284588724
G019.480+00.155,0.2308615148,0.02160613984,1.461021543
