GName,VGPS_Flux,VGPS_e_Flux,VGPS_Area,VGPS_Saturation
G017.625+00.048,0.01027009264,0.00311336061,1.575199485,0
G017.928-00.677,0.2749543786,0.1799955666,23.69713211,0
G018.068-00.013,0.06856181473,0.026946906,6.877581596,0
G018.076+00.068,0.322509706,0.06656640023,9.61041069,0
G018.096-00.322,0.2690776289,0.06473488361,6.268296242,0
G018.144-00.281,7.038627625,0.4588141739,16.11615753,0
G018.152+00.090,0.3063120842,0.04671376944,13.42152882,0
G018.187-00.415,3.702723503,1.29499495,44.70715332,0
G018.195-00.171,0.60967803,0.2191459686,3.629054546,0
G018.218+00.397,0.5119279623,0.1752780676,24.537117,0
G018.230-00.250,0.5054718852,0.2055816054,5.783566952,0
G018.253-00.298,5.931836605,1.866344929,41.8742218,0
G018.305-00.391,1.332250237,0.103414312,7.984958172,0
G018.329+00.024,0.1341918111,0.04303508997,8.181264877,0
G018.426+01.922,211.3567047,69.34957886,7437.419922,0
G018.441+00.013,0.08790150285,0.008713859133,1.912729859,0
G018.630+00.309,0.09804842621,0.01598308608,2.945437193,0
G018.631-00.492,0.753138721,0.3928489983,32.41349792,0
G018.632+00.256,0.1601637751,0.03584042937,8.09658432,0
G018.657-00.057,0.1786117852,0.0120535763,5.968800545,0
G018.677-00.236,0.2823033333,0.1619423032,6.071425438,0
G018.710+00.000,0.03932216763,0.01384916063,4.143990517,0
G018.741+00.250,0.2666807771,0.02377156727,4.789339066,0
G018.750-00.535,0.06375738233,0.05310402811,3.681920767,0
G018.832-00.300,0.1576664001,0.02144319564,4.34170866,0
G018.881-00.493,2.746016026,1.997032881,15.62378502,0
G018.914-00.329,61.21907043,7.324470997,742.4100342,0
G019.030+00.423,0.2104719579,0.05861805379,7.04571867,0
G019.045-00.588,1.047742009,0.4218212962,19.67087746,0
G019.077-00.291,0.2069503516,0.3816736937,0.4608876109,0
G019.095-00.719,0.2336609364,0.1009861827,21.63859177,0
G019.110-00.604,1.199762821,0.5840807557,44.81999969,0
G019.122-00.263,0.2101170868,0.0863186866,3.794151545,0
G019.466+00.168,1.997502565,0.7767680883,65.69999695,0
G019.489+00.135,0.9252307415,0.2115438432,4.366064072,0
G019.494-00.150,0.3243924379,0.06845957041,10.01199245,0
G019.504-00.193,0.2040648609,0.04776697233,5.036157608,0
G019.554-00.248,1.088876009,0.6648381948,31.76999855,0
G019.594+00.024,0.09561225772,0.0461294502,5.793955803,0
G019.604-00.905,0.2420315444,0.01873380318,5.741760731,0
G019.609-00.239,3.474629879,0.2795729339,6.464850903,0
G019.629-00.095,4.291475773,1.717307925,90.44999695,0
G019.666-00.309,0.1819158494,0.1385021657,7.800461292,0
G019.675-00.226,2.214476585,0.8655786514,40.59000015,0
G019.677-00.134,0.9184349775,0.1399460137,6.600896835,0
G019.728-00.113,0.03121463954,0.02541397512,2.583502531,0
G019.741+00.280,0.2527603209,0.01641821861,4.81999445,0
G019.780+00.286,0.4236935377,0.0562825948,10.77261353,0
G019.818+00.010,0.2133637816,0.08711656183,11.10622787,0
G020.070-00.144,0.09847655892,0.009516140446,0.2004704326,0
G020.098-00.123,0.1016875803,0.008391099051,2.702760458,0
G020.150-00.335,1.826123238,2.404864073,262.0799866,0
G020.227+00.110,0.06590988487,0.0184830036,4.405014038,0
G020.363-00.014,0.06178908423,0.01026954781,2.829644442,0
G020.457+00.021,0.3952199817,0.0806433931,10.89000034,0
G020.481+00.168,1.884826779,0.4376198053,37.35942459,0
G020.542-00.179,0.4671379626,0.3050831556,28.73081207,0
G020.727-00.259,1.925536633,0.3980909288,56.39203644,0
G020.728-00.105,15.1406002,1.194146752,143.5500031,0
G020.988+00.092,1.445303917,0.1280920953,14.93971157,0
G021.004-00.056,0.05176713318,0.02932812274,3.631856203,0
G021.185-00.343,0.05678541586,0.04089666158,2.663082123,0
G021.191-00.321,0.1097621769,0.05637703463,3.488539457,0
G021.386-00.254,0.1086810231,0.02696648985,4.584023952,0
G021.426-00.546,0.0975914672,0.02449396439,4.394300461,0
G021.450-00.590,0.2871941924,0.1117195562,13.02471924,0
G021.560-00.108,0.3826176226,0.09510587156,26.77809525,0
G021.603-00.169,0.05895541981,0.01335033868,2.714248896,0
G021.634-00.003,0.2333914936,0.1298633814,11.32475948,0
G021.688+00.074,0.04572849348,0.03428082913,6.120000362,0
G021.746-00.035,0.1001589745,0.04610913247,6.362514019,0
G021.870-00.162,0.3596136868,0.08719895035,12.18288231,0
G021.872-00.044,0.09044037759,0.1109376848,8.800984383,0
G021.873+00.005,0.7674790025,0.09987063706,6.464908123,0
G021.931+00.104,0.1333912313,0.0553454347,6.225278378,0
G022.090-00.117,19.77988052,6.941147327,787.5899658,0
G022.357+00.064,0.154636234,0.05316777155,2.82825017,0
