catalog,glong,glat,size,comments,assoc_flag,assoc,Name,Alias,Simbad_comments,VGPS Exclude,MAGPIS Exclude,Parallax,magpis,nvss_match,Cornish,Yusef 20cm GC,Lang Radio,Lang Paschen,THOR
sharpless,0.00351041,0.127687,206.696,,0,,S17;RCW138,,,0,0,,0,0,0,0,0,0,0
observe,0.00892363,0.0363889,24.9627,,0,,,,,0,0,,0,0,0,1,0,0,0
known,0.0205946,0.2625601,444.387,,0,,S17;RCW138,,,0,0,,0,0,0,0,0,0,0
no_radio,0.0257919,-0.231194,46.2579,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.0296218,-0.0892722,31.5545,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.0412153,0.0212847,20.44,,0,,,,,0,0,,0,0,0,1,0,0,0
observe,0.0439931,0.0139931,15.2886,,0,,,,,0,0,,0,0,0,0,1,1,0
observe,0.0528476,-0.20463,18.9106,,0,,,,,0,0,,0,0,0,0,2,0,0
observe,0.0795542,-0.210005,66.4564,,0,,,,,0,0,,0,0,0,0,2,0,0
no_radio,0.0799903,-0.625347,92.1797,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.0825829,-0.0960677,29.1777,mwp,0,,,,,0,0,,0,0,0,0,2,2,0
observe,0.0994619,-0.167864,15.8751,6cm,0,,FQ100,,,0,0,,1,0,0,0,0,0,0
no_radio,0.114731,-0.0911218,22.6007,mwp,0,,,,,0,0,,0,0,0,0,0,0,0
sharpless,0.120142,-0.555641,360.148,,0,,S19,,,0,0,,0,0,0,0,0,0,0
no_radio,0.120754,-0.632276,93.5562,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.12184,-0.303506,37.0524,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.125951,-0.085877,29.0075,,0,,,,,0,0,,0,0,0,0,0,2,0
no_radio,0.129314,-0.67304,51.5394,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.132187,0.0398611,299.341,?,0,,,,,0,0,,0,0,0,0,0,1,0
no_radio,0.138611,-0.114163,363.078,?,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.15894,-0.0647087,34.0101,6cm,0,,FQ101,,,0,0,,1,0,0,0,0,0,0
observe,0.170193,0.153132,42.5002,6cm,0,,FA203,,,0,0,,1,0,0,0,0,0,0
observe,0.176805,-0.0617012,95.7851,,0,,,,,0,0,,0,0,0,0,1,1,0
observe,0.197438,-0.00649184,24.5183,,0,,,,,0,0,,0,0,0,0,0,2,0
no_radio,0.199563,-0.511958,17.1293,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.208749,-0.00197914,26.1352,6cm,0,,FQ102,,,0,0,,1,0,0,0,0,0,0
no_radio,0.227849,-0.501873,72.7957,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.279061,-0.0581181,191.287,,0,,,,,0,0,,0,0,0,0,1,0,0
known,0.279081,-0.481935,60,,0,,G000.284-00.478,,,0,0,,0,0,0,0,0,0,0
no_radio,0.298378,-1.05041,230.995,,0,,,,,0,1,,0,0,0,0,0,0,0
sharpless,0.314427,-0.193685,26.0139,,0,,S20,,,0,0,,0,0,0,0,0,0,0
sharpless,0.314673,-0.204015,42.5286,,0,,S20,,,0,0,,0,0,0,0,0,0,0
no_radio,0.316148,-0.148674,37.8114,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.319469,-0.118913,27.3139,,0,,,,,0,0,,0,0,0,0,1,0,0
known,0.3208558,-0.2147725,260.44,,0,,S20,,,0,1,,0,0,0,0,0,0,0
known,0.328779,-0.80312,234.967,,0,,G000.361-00.780;S20,,,0,1,,0,0,0,0,0,0,0
observe,0.331017,-0.0643169,42.5,,0,,FA205,,,0,0,,0,0,0,0,1,0,0
observe,0.335364,-0.0150039,42.5002,6cm,0,,FA206,,,0,0,,1,0,0,0,0,0,0
observe,0.346541,-0.0270089,27.8246,6cm,0,,FA207,,,0,0,,1,0,0,0,0,0,0
observe,0.352724,-0.019329,29.5739,,0,,,,,0,0,,0,0,0,0,2,0,0
observe,0.360913,-0.140311,20.2836,,0,,,,,0,0,,0,0,0,0,2,0,0
known,0.382,0.017,67.394,,0,,FA070,,,0,0,,0,0,0,0,0,0,0
no_radio,0.39461,-0.131211,28.773,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.397807,-0.0908732,22.6616,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.401795,0.408866,20.0779,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.408022,-0.880904,139.749,,0,,FA209,,,0,1,,0,0,0,0,0,0,0
no_radio,0.410351,-0.777841,137.694,,1,G000.361-00.780,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.411335,-0.0593902,17.0437,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.414533,-0.0205285,38.4594,,0,,,,,0,0,,0,0,0,1,0,0,0
no_radio,0.41804847,-0.080831193,22.257208,,0,,,,,0,0,,0,0,0,0,0,0,0
known,0.42142,-0.55414,72.8356,,1,G000.394-00.540,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.436669,-0.0839863,41.2783,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.452903,-0.903281,51.753,,0,,,,,0,1,,0,0,0,0,0,0,0
known,0.455982,-0.475066,677.232,,0,,G000.394-00.540,,,0,0,,0,0,0,0,0,0,0
no_radio,0.456408,-0.807535,149.026,,0,,FA210,,,0,1,,0,0,0,0,0,0,0
observe,0.460896,-0.047707,21.4435,,0,,,,,0,0,,0,0,0,0,1,0,0
observe,0.471595,-0.0545939,43.3653,,0,,,,,0,0,,0,0,0,1,0,0,0
known,0.475964,-0.674149,54.9624,,0,,G000.489-00.668,,,0,0,,0,0,0,0,0,0,0
no_radio,0.47713,-0.129858,111.185,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.4798,0.0723936,42.5,,0,,FA212,,,0,0,,0,0,0,0,1,0,0
no_radio,0.484385,-0.8991,27.1004,,0,,,,,0,1,,0,0,0,0,0,0,0
no_radio,0.486943,0.201488,12.4396,,1,FA213 ,,,,0,0,,0,0,0,0,0,0,0
known,0.490043,-0.0739018,42.8537,,1,G000.510-00.051,,,,0,0,,1,0,0,0,0,0,0
observe,0.492402,0.191645,42.5,,0,,FA213 ,,,0,0,,0,0,0,0,0,0,0
no_radio,0.496929,-0.827033,16.0999,,0,,,,,0,1,,0,0,0,0,0,0,0
observe,0.497333,0.159427,60.4152,6cm,0,,FA214,,,0,0,,1,0,0,0,0,0,0
known,0.498347,-0.677838,54.9624,,0,,G000.489-00.668,,,0,0,,0,0,0,0,0,0,0
no_radio,0.501283,0.190801,12.7326,,1,FA213 ,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.504062,-0.788909,35.4183,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.519275,0.177273,8.51127,,0,,,,,0,0,,0,0,0,0,0,0,0
known,0.51997,-0.0508173,208.196,,0,,G000.510-00.051,Sgr B1,,0,0,,0,0,0,0,0,0,0
no_radio,0.520898,0.195536,16.0826,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.522773,-0.0106701,27.0204,,0,,,,,0,0,,0,0,0,0,1,0,0
no_radio,0.523739,0.168886,9.49364,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.525092,0.190936,9.22176,,0,,,,,0,0,,0,0,0,0,0,0,0
known,0.52817,0.180976,25.672,,0,,G000.521+00.178,,,0,0,,0,0,0,0,0,0,0
observe,0.529765,-0.106246,27.1552,,0,,,,,0,0,,0,0,0,0,1,0,0
observe,0.530131,0.131702,50.5506,,0,,FA216,,,0,0,,0,0,0,0,0,0,0
no_radio,0.53038,-0.155807,29.4175,,0,,,,,0,0,,0,0,0,0,0,0,0
known,0.533332,-0.0817726,66.8632,,1,G000.510-00.051,,,,0,0,,0,0,0,0,0,0,0
known,0.534824,0.168883,31.2643,,1,G000.521+00.178,FA217,,,0,0,,1,0,0,0,0,0,0
no_radio,0.5413,-0.0456248,20.4662,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.544302,-0.226129,128.528,,0,,FA218,,,0,0,,0,0,0,0,0,0,0
observe,0.54725,-0.059607,20.4662,,0,,,,,0,0,,0,0,0,0,2,0,0
known,0.548089,-0.851137,28.2152,,1,G000.561-00.850; G00.58; S21,,,,0,1,,0,0,0,0,0,0,0
known,0.548581,-0.835273,41.7092,,1,G000.561-00.850; G00.58; S21,,,,0,1,,0,0,0,0,0,0,0
observe,0.551446,0.06012,90.0997,,0,,FA219,,,0,0,,0,0,0,0,1,0,0
no_radio,0.557067,-0.078944,20.4662,,0,,,,,0,0,,0,0,0,0,0,0,0
known,0.563339,-0.851875,35.8158,,1,G000.561-00.850; G00.58; S21,,,,0,1,,0,0,0,0,0,0,0
observe,0.563585,-0.0365158,23.1136,,0,,,,,0,0,,0,0,0,0,1,0,0
